paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,"Stage {1,2,3,4}",track https://acl2020.org/blog/general-conference-statistics/,"social good domain {bias mitigation, education, equality, fighting misinformation, green NLP, healthcare, interpretability, legal applications, low-resource language, mental healthcare, robustness, science literature parsing, and others}",author
Dependency Graph Enhanced Dual-transformer Structure for Aspect-based Sentiment Classification,2;3,sentiment and argument analysis,,"Hao Tang, Donghong Ji, Chenliang Li and Qiji Zhou"
Synchronous Double-channel Recurrent Network for Aspect-Opinion Pair Extraction,2,sentiment and argument analysis,,"Shaowei Chen, Jie Liu, Yu Wang, Wenzheng Zhang and Ziming Chi"
"MATINF: A Jointly Labeled Large-Scale Dataset for Classification, Question Answering and Summarization",2,dataset; sentiment and argument analysis; question answering; summarization,,"Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li"
Empower Entity Set Expansion via Language Model Probing,2,information extraction,,"Yunyi Zhang, Jiaming Shen, Jingbo Shang and Jiawei Han"
A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer’s Type,3,language modeling,healthcare,Trevor Cohen and Serguei Pakhomov
Improving Multimodal Named Entity Recognition via Entity Span Detection with Unified Multimodal Transformer,2,information extraction,,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia"
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,2,question answering,,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang"
"Exact yet Efficient Graph Parsing, Bi-directional Locality and the Constructivist Hypothesis",2,semantic parsing,,Yajie Ye and Weiwei Sun
Aligned Dual Channel Graph Convolutional Network for Visual Question Answering,2;3,question answering,,"Qingbao Huang, Jielong Wei, Yi Cai, Changmeng Zheng, Junying Chen, Ho-fung Leung and Qing Li"
Learning to execute instructions in a Minecraft dialogue,2,robotics,,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier"
"In Neural Machine Translation, What Does Transfer Learning Transfer?",2,machine translation; interpretability,interpretability; low-resource,"Alham Fikri Aji, Nikolay Bogoychev, Kenneth Heafield and Rico Sennrich"
Integrating Multimodal Information in Large Pretrained Transformers,3,sentiment and argument analysis,,"Wasifur Rahman, Md Kamrul Hasan, Sangwu Lee, AmirAli Bagher Zadeh, Chengfeng Mao, Louis-Philippe Morency and Ehsan Hoque"
