paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Fact-based Text Editing,3,misinformation,,,Japan,Nara Institute of Science and Technology,ByteDance,"Hayate Iso, Chao Qiao and Hang Li"
Towards Emotion-aided Multi-modal Dialogue Act Classification,3,dialog,,,India,Indian Institute of Technology Patna,N,"Tulika Saha, Aditya Patra, Sriparna Saha and Pushpak Bhattacharyya"
Clinical Reading Comprehension: A Thorough Analysis of the emrQA Dataset,3,healthcare; question answering,healthcare,health and wellbeing,US,The Ohio State University,N,"Xiang Yue, Bernal Jimenez Gutierrez and Huan Sun"
Understanding Attention for Text Classification,2,interpretability; sentiment and argument analysis,,,Singapore,Singapore University of Technology and Design,N,Xiaobing Sun and Wei Lu
From Arguments to Key Points: Towards Automatic Argument Summarization,3,summarization; sentiment and argument analysis,,,US,IBM,IBM,"Roy Bar-Haim, Lilach Eden, Roni Friedman, Yoav Kantor, Dan Lahav and Noam Slonim"
On Faithfulness and Factuality in Abstractive Summarization,4,summarization; misinformation,,,US,Google,Google,"Joshua Maynez, Shashi Narayan, Bernd Bohnet and Ryan McDonald"
Pyramid: A Layered Model for Nested Named Entity Recognition,2,information extraction,,,China,Zhejiang University,N,"Jue Wang, Lidan Shou, Ke Chen and Gang Chen"
Facet-Aware Evaluation for Extractive Summarization,2,metric; summarization,,,US,UIUC,N,"Yuning Mao, Liyuan Liu, Qi Zhu, Xiang Ren and Jiawei Han"
Beyond User Self-Reported Likert Scale Ratings: A Comparison Model for Automatic Dialog Evaluation,2,metric; dialog,,,US,Stanford University,N,"Weixin Liang, James Zou and Zhou Yu"
ScriptWriter: Narrative-Guided Script Generation,3,generation,,,Canada,Universite de Montreal,N,"Yutao Zhu, Ruihua Song, Zhicheng Dou, Jian-Yun Nie and Jin Zhou"
Out of the Echo Chamber: Detecting Countering Debate Speeches,4,social media,,,US,IBM,IBM,"Matan Orbach, Yonatan Bilu, Assaf Toledo, Dan Lahav, Michal Jacovi, Ranit Aharonov and Noam Slonim"
Explicit Memory Tracker with Coarse-to-Fine Reasoning for Conversational Machine Reading,3,question answering; dialog,,,Hong Kong,The Chinese University of Hong Kong,Salesforce,"Yifan Gao, Chien-Sheng Wu, Shafiq Joty, Caiming Xiong, Richard Socher, Irwin King, Michael Lyu and Steven C.H. Hoi"
Diversifying Dialogue Generation with Non-Conversational Text,3,dialog,,,China; Germany,Tencent; Saarland University,Tencent,"Hui Su, Xiaoyu Shen, Sanqiang Zhao, Zhou Xiao, Pengwei Hu, Randy Zhong, Cheng Niu and Jie Zhou"
Transition-based Directed Graph Construction for Emotion-Cause Pair Extraction,3,emotion detection,,,China,"Harbin Institute of Technology, Shenzhen",N,"Chuang Fan, Chaofa Yuan, Jiachen Du, Lin Gui, Min Yang and Ruifeng Xu"
Learning to Recover from Multi-Modality Errors for Non-Autoregressive Neural Machine Translation,3,machine translation,,,China,Tencent,Tencent,"Qiu Ran, Yankai Lin, Peng Li and Jie Zhou"
That is a Known Lie: Detecting Previously Fact-Checked Claims,4,misinformation,misinformation,,Qatar,HBKU,N,"Shaden Shaar, Nikolay Babulkov, Giovanni Da San Martino and Preslav Nakov"
Mapping Natural Language Instructions to Mobile UI Action Sequences,4,interactive system,,,US,Google,Google,"Yang Li, Jiacong He, Xin Zhou, Yuan Zhang and Jason Baldridge"
ASSET: A Dataset for Tuning and Evaluation of Sentence Simplification Models with Multiple Rewriting Transformations,3,simplification,,,UK; France,University of Sheffield; INRIA,Facebook,"Fernando Alva-Manchego, Louis Martin, Antoine Bordes, Carolina Scarton, Beno√Æt Sagot and Lucia Specia"
The Unstoppable Rise of Computational Linguistics in Deep Learning,1,linguistics,,,Switzerland,Idiap Research,N,James Henderson
Posterior Control of Blackbox Generation,2,generation; model architecture,,,US,Johns Hopkins University,N,Xiang Lisa Li and Alexander Rush
An Effective Transition-based Model for Discontinuous NER,2,information extraction,,,Australia,CSIRO,N,"Xiang Dai, Sarvnaz Karimi, Ben Hachey and Cecile Paris"
Towards Holistic and Automatic Evaluation of Open-Domain Dialogue Generation,2,dialog; metric,,,US; US; China; US,UCLA; UCLA; ShanghaiTech University; UCLA,N,"Bo Pang, Erik Nijkamp, Wenjuan Han, Linqi Zhou, Yixian Liu and Kewei Tu"
Improving Image Captioning with Better Use of Caption,4,caption generation,,,Canada,Queen’s University,N,"Zhan Shi, Xu Zhou, Xipeng Qiu and Xiaodan Zhu"
Multi-Agent Task-Oriented Dialog Policy Learning with Role-Aware Reward Decomposition,4,dialog,,,China,Tsinghua University,N,"Ryuichi Takanobu, Runze Liang and Minlie Huang"
Aspect Sentiment Classification with Document-level Sentiment Preference Modeling,4,sentiment and argument analysis,,,China,Soochow University,N,"Xiao Chen, Changlong Sun, Jingjing Wang, Shoushan Li, Luo Si, Min Zhang and Guodong Zhou"
Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,4,summarization; misinformation,misinformation,,US,NYU,N,"Alex Wang, Kyunghyun Cho and Mike Lewis"
Machine Reading of Historical Events,4,information extraction,,,Israel; UK,The Hebrew University of Jerusalem; University of Cambridge,N,"Or Honovich, Lucas Torroba Hennigen, Omri Abend and Shay B. Cohen"
Cross-Linguistic Syntactic Evaluation of Word Prediction Models,2,language modeling,,,US,Johns Hopkins University,N,"Aaron Mueller, Garrett Nicolai, Panayiota Petrou-Zeniou, Natalia Talmina and Tal Linzen"
A Formal Hierarchy of RNN Architectures,2,model architecture,,,US,Allen Institute for Artificial Intelligence,N,"William Merrill, Gail Weiss, Yoav Goldberg, Roy Schwartz, Noah A. Smith and Eran Yahav"
Obtaining Faithful Interpretations from Compositional Neural Networks,2,interpretability,interpretability,,US; Israel; US,Allen Institute for Artificial Intelligence; Tel Aviv University; University of Pennsylvania,N,"Sanjay Subramanian, Ben Bogin, Nitish Gupta, Tomer Wolfson, Sameer Singh, Jonathan Berant and Matt Gardner"
Multi-Domain Named Entity Recognition with Genre-Aware and Agnostic Inference,2,information extraction,,,US,Bloomberg,Bloomberg,"Jing Wang, Mayank Kulkarni and Daniel Preotiuc-Pietro"
History for Visual Dialog: Do we really need it?,2,dialog,,,UK,Heriot-Watt University,Adobe,"Shubham Agarwal, Trung Bui, Joon-Young Lee, Ioannis Konstas and Verena Rieser"
MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,3,model architecture; greenNLP,,,US,CMU,Google,"Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang and Denny Zhou"
The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents,3,dialog; language grounding,,,US,Facebook,Facebook,"Kurt Shuster, Da JU, Stephen Roller, Emily Dinan, Y-Lan Boureau and Jason Weston"
Probing Linguistic Systematicity,1;2,linguistics,,,Canada,Quebec Artificial Intelligence Institute,N,"Emily Goodwin, Koustuv Sinha and Timothy J. O‚ÄôDonnell"
Active Imitation Learning with Noisy Guidance,2,model architecture; information extraction,,,US,University of Maryland,N,"Kiant√© Brantley, Hal Daum√© III and Amr Sharaf"
Exploiting the Syntax-Model Consistency for Neural Relation Extraction,2,information extraction,,,US,University of Oregon,N,"Amir Pouran Ben Veyseh, Franck Dernoncourt, Dejing Dou and Thien Huu Nguyen"
Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?,2,interpretability; metric,interpretability,,US,UNC Chapel Hill,N,Peter Hase and Mohit Bansal
Joint Chinese Word Segmentation and Part-of-speech Tagging via Two-way Attentions of Auto-analyzed Knowledge,2,segmentation; tagging,,,US,UW,Sinovation Ventures,"Yuanhe Tian, Yan Song, Xiang Ao, Fei Xia, Xiaojun Quan, Tong Zhang and Yonggang Wang"
Hard-Coded Gaussian Attention for Neural Machine Translation,3,machine translation,,,US,University of Massachusetts Amherst,N,"Weiqiu You, Simeng Sun and Mohit Iyyer"
CH-SIMS: A Chinese Multimodal Sentiment Analysis Dataset with Fine-grained Annotation of Modality,3,sentiment and argument analysis,,,China,Tsinghua University,N,"Wenmeng Yu, Hua Xu, Fanyang Meng, Yilin Zhu, Yixiao Ma, Jiele Wu, Jiyun Zou and Kaicheng Yang"
RAT-SQL: Relation-Aware Schema Encoding and Linking for Text-to-SQL Parsers,3,semantic parsing,,,UK; US,University of Edinburgh; UCB,Microsoft,"Bailin Wang, Richard Shin, Xiaodong Liu, Oleksandr Polozov and Matthew Richardson"
Jointly Learning to Align and Summarize for Neural Cross-Lingual Summarization,3;4,summarization; machine translation,,,China,Peking University,N,"Yue Cao, Hui Liu and Xiaojun Wan"
Data Manipulation: Towards Effective Instance Learning for Neural Dialogue Generation via Learning to Augment and Reweight,3,dialog,,,China,Chinese Academy of Sciences,JD,"Hengyi Cai, Hongshen Chen, Yonghao Song, Cheng Zhang, Xiaofang Zhao and Dawei Yin"
Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,2,interpretability,interpretability,,Hong Kong,HKU,N,"Zhiyong Wu, Yun Chen, Ben Kao and Qun Liu"
Unsupervised Paraphrasing by Simulated Annealing,3,paraphrase,,,China,Tsinghua University,N,"Xianggen Liu, Lili Mou, Fandong Meng, Hao Zhou, Jie Zhou and Sen Song"
Extractive Summarization as Text Matching,3,summarization,,,China,Fudan University,N,"Ming Zhong, Pengfei Liu, Yiran Chen, Danqing Wang, Xipeng Qiu and Xuanjing Huang"
Code and Named Entity Recognition in StackOverflow,4,information extraction; code,,,US,The Ohio State University,N,"Jeniya Tabassum, Mounica Maddela, Wei Xu and Alan Ritter"
Named Entity Recognition without Labelled Data: A Weak Supervision Approach,2,information extraction,,,Norway,Norwegian Computing Center,N,"Pierre Lison, Jeremy Barnes, Aliaksandr Hubin and Samia Touileb"
Unsupervised Morphological Paradigm Completion,2,morphology,,,US,CMU,N,"Huiming Jin, Liwei Cai, Yihui Peng, Chen Xia, Arya McCarthy and Katharina Kann"
CraftAssist Instruction Parsing: Semantic Parsing for a Voxel-World Assistant,4,semantic parsing; interactive system,,,US,Facebook; HuggingFace,Facebook,"Kavya Srinet, Yacine Jernite, Jonathan Gray and Arthur Szlam"
He said ‚Äúwho‚Äôs gonna take care of your children when you are at ACL?‚Äù: Reported Sexist Acts are Not Sexist,2,bias,bias,,France,Universite de Toulouse,N,"Patricia Chiril, V√©ronique Moriceau, Farah Benamara, Alda Mari, Gloria Origgi and Marl√®ne Coulomb-Gully"
Neural Topic Modeling with Bidirectional Adversarial Training,2,robustness; topic modeling,,,China,Southeast University,N,"Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and Haiyang Xu"
Dice Loss for Data-imbalanced NLP Tasks,2,bias,bias,,China,Shannon AI,Shannon AI,"Xiaoya Li, Xiaofei Sun, Yuxian Meng, Junjun Liang, Fei Wu and Jiwei Li"
Interactive Construction of User-Centric Dictionary for Text Analytics,4,interactive system,,,Japan,IBM,IBM,"Ryosuke Kohita, Issei Yoshida, Hiroshi Kanayama and Tetsuya Nasukawa"
Norm-Based Curriculum Learning for Neural Machine Translation,3,machine translation,,,Macau; China,University of Macau; NewTranx Information Technology,NewTranx Information Technology,"Xuebo Liu, Houtim Lai, Derek F. Wong and Lidia S. Chao"
A Systematic Assessment of Syntactic Generalization in Neural Language Models,2,language modeling; interpretability,,,US,MIT,N,"Jennifer Hu, Jon Gauthier, Peng Qian, Ethan Wilcox and Roger Levy"
Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimination in Text Classifications with Instance Weighting,4,toxic language; bias,mental healthcare; bias,,China; China,Harbin Institute of Technology; Tencent,Tencent,"Guanhua Zhang, Bing Bai, Junqi Zhang, Kun Bai, Conghui Zhu and Tiejun Zhao"
A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,2,question answering,,,Spain,University of the Basque Country,N,"Jan Deriu, Katsiaryna Mlynchyk, Philippe Schl√§pfer, Alvaro Rodrigo, Dirk von Gr√ºnigen, Nicolas Kaiser, Kurt Stockinger, Eneko Agirre and Mark Cieliebak"
Feature Projection for Improved Text Classification,3,sentiment and argument analysis,,,China,Peking University,N,"Qi Qin, Wenpeng Hu and Bing Liu"
Revisiting the Context Window for Cross-lingual Word Embeddings,2,word meaning,,,Japan,The University of Tokyo,N,Ryokan Ri and Yoshimasa Tsuruoka
Relational Graph Attention Network for Aspect-based Sentiment Analysis,3,sentiment and argument analysis,,,China,Sun Yat-sen University,N,"Kai Wang, Weizhou Shen, Yunyi Yang, Xiaojun Quan and Rui Wang"
Intermediate-Task Transfer Learning with Pretrained Language Models: When and Why Does It Work?,2,language modeling; interpretability,,,US,NYU,N,"Yada Pruksachatkun, Jason Phang, Haokun Liu, Phu Mon Htut, Xiaoyi Zhang, Richard Yuanzhe Pang, Clara Vania, Katharina Kann and Samuel R. Bowman"
Text and Causal Inference: A Review of Using Text to Remove Confounding from Causal Estimates,2,social science,,,US,University of Massachusetts Amherst,N,"Katherine Keith, David Jensen and Brendan O‚ÄôConnor"
Multi-agent Communication meets Natural Language: Synergies between Functional and Structural Language Learning,2,emergent languages,,,UK,DeepMind,DeepMind,"Angeliki Lazaridou, Anna Potapenko and Olivier Tieleman"
Curriculum Learning for Natural Language Understanding,2,information extraction,,,China,University of Science and Technology of China,N,"Benfeng Xu, Licheng Zhang, Zhendong Mao, Quan Wang, Hongtao Xie and Yongdong Zhang"
BERTRAM: Improved Word Embeddings Have Big Impact on Contextualized Model Performance,2,word meaning,,,Germany,Sulzer GmbH,Sulzer GmbH,Timo Schick and Hinrich Sch√ºtze
TAG : Type Auxiliary Guiding for Code Comment Generation,3,code,,,China,Guangdong University of Technology,N,"Ruichu Cai, Zhihao Liang, Boyan Xu, zijian li, Yuexing Hao and Yao Chen"
Recurrent Chunking Mechanisms for Long-Text Machine Reading Comprehension,3,question answering,,,US,UIUC,Microsoft,"Hongyu Gong, Yelong Shen, Dian Yu, Jianshu Chen and Dong Yu"
How Does NLP Benefit Legal System: A Summary of Legal Artificial Intelligence,4,legal and political text,,,China,Tsinghua University,N,"Haoxi Zhong, Chaojun Xiao, Cunchao Tu, Tianyang Zhang, Zhiyuan Liu and Maosong Sun"
Modelling Context and Syntactical Features for Aspect-based Sentiment Analysis,3,sentiment and argument analysis,,,Australia,University of Wollongong,N,Minh Hieu Phan and Philip O. Ogunbona
Pre-training Is (Almost) All You Need: An Application to Commonsense Reasoning,3,inference,,,France,Samsung,Samsung,"Alexandre Tamborrino, Nicola Pellican√≤, Baptiste Pannier, Pascal Voitot and Louise Naudin"
Image-Chat: Engaging Grounded Conversations,4,dialog; language grounding,,,US,Facebook,Facebook,"Kurt Shuster, Samuel Humeau, Antoine Bordes and Jason Weston"
Learning Dialog Policies from Weak Demonstrations,3,dialog,,,US,Huawei,Huawei,"Gabriel Gordon-Hall, Philip John Gorinski and Shay B. Cohen"
SimulSpeech: End-to-End Simultaneous Speech to Text Translation,3,speech,,,China,Zhejiang University,N,"Yi Ren, Jinglin Liu, Xu Tan, Chen Zhang, Tao Qin, Zhou Zhao and Tie-Yan Liu"
Document-Level Event Role Filler Extraction using Multi-Granularity Contextualized Encoding,2,information extraction,,,US,Cornell University,N,Xinya Du and Claire Cardie
Diverse and Informative Dialogue Generation with Context-Specific Commonsense Knowledge Awareness,3,dialog,,,China,Peking University,N,"Sixing Wu, Ying Li, Dawei Zhang, Yang Zhou and Zhonghai Wu"
Dense-Caption Matching and Frame-Selection Gating for Temporal Localization in VideoQA,2,question answering,,,US,UNC Chapel Hill,N,"Hyounghun Kim, Zineng Tang and Mohit Bansal"
Hierarchy-Aware Global Model for Hierarchical Text Classification,2,sentiment and argument analysis,,,China,Shanghai Jiao Tong University,Alibaba,"Jie Zhou, Chunping Ma, Dingkun Long, Guangwei Xu, Ning Ding, Haoyu Zhang, Pengjun Xie and Gongshen Liu"
SKEP: Sentiment Knowledge Enhanced Pre-training for Sentiment Analysis,2,sentiment and argument analysis,,,China,University of Science and Technology of China,Baidu,"Hao Tian, Can Gao, Xinyan Xiao, Hao Liu, Bolei He, Hua Wu, Haifeng Wang and Feng Wu"
Influence Paths for Characterizing Subject-Verb Number Agreement in LSTM Language Models,2,language modeling; syntax parsing,,,US,CMU,N,"Kaiji Lu, Piotr Mardziel, Klas Leino, Matt Fredrikson and Anupam Datta"
GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media,4,misinformation; interpretability,misinformation; interpretability,,Taiwan,National Cheng Kung University,N,Yi-Ju Lu and Cheng-Te Li
An Effectiveness Metric for Ordinal Classification: Formal Properties and Experimental Results,2,sentiment and argument analysis; metric,,,Spain,UNED,N,"Enrique Amigo, Julio Gonzalo, Stefano Mizzaro and Jorge Carrillo-de-Albornoz"
Discrete Latent Variable Representations for Low-Resource Text Classification,2,sentiment and argument analysis; text representation,,,US,Rutgers University,Toyota,"Shuning Jin, Sam Wiseman, Karl Stratos and Karen Livescu"
LogicalFactChecker: Leveraging Logical Operations for Fact Checking with Graph Module Network,4,misinformation,misinformation,,China,Sun Yat-sen University,Microsoft,"Wanjun Zhong, Duyu Tang, Zhangyin Feng, Nan Duan, Ming Zhou, Ming Gong, Linjun Shou, Daxin Jiang, Jiahai Wang and Jian Yin"
Temporal Common Sense Acquisition with Minimal Supervision,2,knowledge graph,,,US,University of Pennsylvania,N,"Ben Zhou, Qiang Ning, Daniel Khashabi and Dan Roth"
Dialogue-Based Relation Extraction,3,information extraction; dialog,,,US; US,Tencent; Cornell University,Tencent,"Dian Yu, Kai Sun, Claire Cardie and Dong Yu"
SeqVAT: Virtual Adversarial Training for Semi-Supervised Sequence Labeling,2,information extraction,,,US,Amazon,Amazon,"Luoxin Chen, Weitong Ruan, Xinyue Liu and Jianhua Lu"
Predicting Performance for Natural Language Processing Tasks,2,metric,,,US,CMU,N,"Mengzhou Xia, Antonios Anastasopoulos, Ruochen Xu, Yiming Yang and Graham Neubig"
The Paradigm Discovery Problem,2,morphology,,,US,Ohio State University,N,"Alexander Erdmann, Micha Elsner, Shijie Wu, Ryan Cotterell and Nizar Habash"
When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?,2,word meaning,,,US,University at Buffalo,N,Kenneth Joseph and Jonathan Morgan
Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation,3,machine translation,,,Spain,University of the Basque Country,N,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas and Andy Way"
ReInceptionE: Relation-Aware Inception Network with Joint Local-Global Structural Information for Knowledge Graph Embedding,2,knowledge graph,,,China,Wuhan University,N,"Zhiwen Xie, Guangyou Zhou, Jin Liu and Jimmy Xiangji Huang"
INSET: Sentence Infilling with INter-SEntential Transformer,3,language modeling,,,US,Microsoft,Microsoft,"Yichen Huang, Yizhe Zhang, Oussama Elachqar and Yu Cheng"
Multi-Domain Neural Machine Translation with Word-Level Adaptive Layer-wise Domain Mixing,3,machine translation,,,US,Georgia Tech,N,"Haoming Jiang, Chen Liang, Chong Wang and Tuo Zhao"
An analysis of the utility of explicit negative examples to improve the syntactic abilities of neural language models,2,language modeling; interpretability,interpretability,,Japan,AIST,AIST,Hiroshi Noji and Hiroya Takamura
How does BERT‚Äôs attention change when you fine-tune? An analysis methodology and a case study in negation scope,2,language modeling; interpretability,interpretability,,US,University of Arizona,N,Yiyun Zhao and Steven Bethard
TACRED Revisited: A Thorough Evaluation of the TACRED Relation Extraction Task,2,metric; information extraction,,,Germany,German Research Center for Artificial Intelligence ,N,"Christoph Alt, Aleksandra Gabryszak and Leonhard Hennig"
Examining the State-of-the-Art in News Timeline Summarization,2,summarization,,,Ireland,University of Dublin,Aylien,Demian Gholipour Ghalandari and Georgiana Ifrim
Adversarial NLI: A New Benchmark for Natural Language Understanding,2,robustness; NLI,robustness,,US,UNC Chapel Hill,N,"Yixin Nie, Adina Williams, Emily Dinan, Mohit Bansal, Jason Weston and Douwe Kiela"
End-to-End Neural Pipeline for Goal-Oriented Dialogue Systems using GPT-2,3,dialog,,,Korea,KAIST,KAIST,"Donghoon Ham, Jeong-Gwan Lee, Youngsoo Jang and Kee-Eung Kim"
End-to-End Neural Word Alignment Outperforms GIZA++,3,machine translation,,,US,Lilt,Lilt,"Thomas Zenkel, Joern Wuebker and John DeNero"
TransS-Driven Joint Learning Architecture for Implicit Discourse Relation Recognition,2,information extraction,,,China,Tianjin University,N,"Ruifang He, Jian Wang, Fengyu Guo and Yugui Han"
Fine-grained Interest Matching for Neural News Recommendation,3;4,recommendation,,,China,Microsoft,Microsoft,"Heyuan Wang, Fangzhao Wu, Zheng Liu and Xing Xie"
To Boldly Query What No One Has Annotated Before? The Frontiers of Corpus Querying,2,information retrieval,,,Germany,University of Stuttgart,N,Markus G√§rtner and Kerstin Jung
Semantic Graphs for Generating Deep Questions,2,question answering,,,Singapore,NUS,N,"Liangming Pan, Yuxi Xie, Yansong Feng, Tat-Seng Chua and Min-Yen Kan"
Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,2,sentiment and argument analysis,,,China,Sun Yat-sen University,N,"Kun Li, Chengbo Chen, Xiaojun Quan, Qing Ling and Yan Song"
On the Inference Calibration of Neural Machine Translation,2,machine translation,,,China,Tsinghua University,Tencent,"Shuo Wang, Zhaopeng Tu, Shuming Shi and Yang Liu"
Phone Features Improve Speech Translation,3,speech; machine translation,,,US,Johns Hopkins University,N,Elizabeth Salesky and Alan W Black
Evaluating Explanation Methods for Neural Machine Translation,3,machine translation,,,China,University of Electronic Science and Technology of China,N,"Jierui Li, Lemao Liu, Huayang Li, Guanlin Li, Guoping Huang and Shuming Shi"
Rigid Formats Controlled Text Generation,2,style transfer,,,China,Tencent,Tencent,"Piji Li, Haisong Zhang, Xiaojiang Liu and Shuming Shi"
Graph-to-Tree Learning for Solving Math Word Problems,2,math,,,China,University of Electronic Science and Technology of China,N,"Jipeng Zhang, Lei Wang, Roy Ka-Wei Lee, Yi Bin, Yan Wang, Jie Shao and Ee-Peng Lim"
Parallel Corpus Filtering via Pre-trained Language Models,2,machine translation,,,China,DiDi,DiDi,"Boliang Zhang, Ajay Nagesh and Kevin Knight"
Learning a Multi-Domain Curriculum for Neural Machine Translation,3,machine translation,,,US,Google,Google,"Wei Wang, Ye Tian, Jiquan Ngiam, Yinfei Yang, Isaac Caswell and Zarana Parekh"
Improved Natural Language Generation via Loss Truncation,2,generation; model architecture,,,US,Stanford University,N,Daniel Kang and Tatsunori Hashimoto
Graph Neural News Recommendation with Unsupervised Preference Disentanglement,3,recommendation,,,China,Beijing University of Posts and Telecommunications,N,"Linmei Hu, Siyong Xu, Chen Li, Cheng Yang, Chuan Shi, Nan Duan, Xing Xie and Ming Zhou"
Distilling Knowledge Learned in BERT for Text Generation,2,generation,,,US,Microsoft,Microsoft,"Yen-Chun Chen, Zhe Gan, Yu Cheng, Jingzhou Liu and Jingjing Liu"
Paraphrase Generation by Learning How to Edit from Samples,3,paraphrase,,,Iran,Iran University of Science and Technology,N,"Amirhossein Kazemnejad, Mohammadreza Salehi and Mahdieh Soleymani Baghshah"
PeTra: A Sparsely Supervised Memory Model for People Tracking,3,information extraction,,,US,Toyota,Toyota,"Shubham Toshniwal, Allyson Ettinger, Kevin Gimpel and Karen Livescu"
Cross-Lingual Unsupervised Sentiment Classification with Multi-View Transfer Learning,3,sentiment and argument analysis,,,US,Baidu,Baidu,Hongliang Fei and Ping Li
Learning Constraints for Structured Prediction Using Rectifier Networks,2,semantic parsing,,,US,University of Utah,N,"Xingyuan Pan, Maitrey Mehta and Vivek Srikumar"
Similarity Analysis of Contextual Word Representation Models,2,word meaning,,,US,MIT,N,"John Wu, Yonatan Belinkov, Hassan Sajjad, Nadir Durrani, Fahim Dalvi and James Glass"
Exploiting Syntactic Structure for Better Language Modeling: A Syntactic Distance Approach,2,language modeling,,,China; Canada,Westlake University; Universite de Montr ´ eal,N,"Wenyu DU, Zhouhan Lin, Yikang Shen, Timothy J. O‚ÄôDonnell, Yoshua Bengio and Yue Zhang"
PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Variable,3,dialog,,,China,Baidu,Baidu,"Siqi Bao, Huang He, Fan Wang, Hua Wu and Haifeng Wang"
RikiNet: Reading Wikipedia Pages for Natural Question Answering,3,question answering,,,China,Sichuan University,Microsoft,"Dayiheng Liu, Yeyun Gong, Jie Fu, Yu Yan, Jiusheng Chen, Daxin Jiang, Jiancheng Lv and Nan Duan"
Cross-Modality Relevance for Reasoning on Language and Vision,3,inference; language grounding,,,US,Michigan State University,N,"Chen Zheng, Quan Guo and Parisa Kordjamshidi"
Social Bias Frames: Reasoning about Social and Power Implications of Language,4,bias,bias,equality,US,UW,N,"Maarten Sap, Saadia Gabriel, Lianhui Qin, Dan Jurafsky, Noah A. Smith and Yejin Choi"
ParaCrawl: Web-Scale Acquisition of Parallel Corpora,2,machine translation,,,Spain,Prompsit,Prompsit,"Marta Ba√±√≥n, Pinzhen Chen, Barry Haddow, Kenneth Heafield, Hieu Hoang, Miquel Espl√†-Gomis, Mikel L. Forcada, Amir Kamran, Faheem Kirefu, Philipp Koehn, Sergio Ortiz Rojas, Leopoldo Pla Sempere, Gema Ram√≠rez-S√°nchez, Elsa Sarr√≠as, Marek Strelec, Brian Thompson, William Waites, Dion Wiggins and Jaume Zaragoza"
Politeness Transfer: A Tag and Generate Approach,3,style transfer,,,US,CMU,N,"Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig, Yiming Yang, Ruslan Salakhutdinov, Alan W Black and Shrimai Prabhumoye"
"Climbing towards NLU: On Meaning, Form, and Understanding in the Age of Data",1,trend,,,US,UW,N,Emily M. Bender and Alexander Koller
Improving Event Detection via Open-domain Trigger Knowledge,2,information extraction,,,China,Tsinghua University,N,"Meihan Tong, Bin Xu, Shuai Wang, Yixin Cao, Lei Hou, Juanzi Li and Jun Xie"
Should All Cross-Lingual Embeddings Speak English?,2,word meaning; machine translation,,,US,CMU,N,Antonios Anastasopoulos and Graham Neubig
Connecting Embeddings for Knowledge Graph Entity Typing,2,knowledge graph,,,China; China,Southwestern University of Finance and Economics; Tencent,Tencent,"Yu Zhao, anxiang zhang, Ruobing Xie, Kang Liu and Xiaojie WANG"
Double-Hard Debias: Tailoring Word Embeddings for Gender Bias Mitigation,2,bias; word meaning,bias,equality,US,University of Virginia,Salesforce,"Tianlu Wang, Xi Victoria Lin, Nazneen Fatema Rajani, Bryan McCann, Vicente Ordonez and Caiming Xiong"
Are Natural Language Inference Models IMPPRESsive? Learning IMPlicature and PRESupposition,2,robustness; NLI,robustness,,US,NYU,N,"Paloma Jeretic, Alex Warstadt, Suvrat Bhooshan and Adina Williams"
SciREX: A Challenge Dataset for Document-Level Information Extraction,2,information extraction,,,US,Northeastern University,N,"Sarthak Jain, Madeleine van Zuylen, Hannaneh Hajishirzi and Iz Beltagy"
Addressing Posterior Collapse with Mutual Information for Improved Variational Neural Machine Translation,3,machine translation; model architecture,,,US,Johns Hopkins University,Facebook,"Arya D. McCarthy, Xian Li, Jiatao Gu and Ning Dong"
A Recipe for Creating Multimodal Aligned Datasets for Sequential Tasks,3,language grounding,,,US,Salesforce,Microsoft,"Angela Lin, Sudha Rao, Asli Celikyilmaz, Elnaz Nouri, Chris Brockett, Debadeepta Dey and Bill Dolan"
On the Cross-lingual Transferability of Monolingual Representations,2,text representation; machine translation,,,Spain,University of the Basque Country,DeepMind,"Mikel Artetxe, Sebastian Ruder and Dani Yogatama"
Relation-Aware Collaborative Learning for Unified Aspect-Based Sentiment Analysis,3,sentiment and argument analysis,,,China,Wuhan University,N,Zhuang Chen and Tieyun Qian
