paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,2,model architecture,,,China; China; US,Alibaba; Wuhan University; University of Michigan,Alibaba,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han and Chenliang Li"
Generating Counter Narratives against Online Hate Speech: Data and Strategies,4,toxic language,,,Italy,Fondazione Bruno Kessler,N,"Serra Sinem Tekiroƒülu, Yi-Ling Chung and Marco Guerini"
Toxicity Detection: Does Context Really Matter?,3,toxic language,,,Greece,Athens University of Economic and Business,N,"John Pavlopoulos, Jeffrey Sorensen, Lucas Dixon, Nithum Thain and Ion Androutsopoulos"
"‚ÄúWho said it, and Why?‚Äù Provenance for Natural Language Claims",4,misinformation,,,US,University of Pennsylvania,N,"Yi Zhang, Zachary Ives and Dan Roth"
A Generative Model for Joint Natural Language Understanding and Generation,2,model architecture; information extraction; data-to-text generation,,,UK,University of Cambridge,Apple,"Bo-Hsiang Tseng, Jianpeng Cheng, Yimai Fang and David Vandyke"
Exploring Unexplored Generalization Challenges for Cross-Database Semantic Parsing,2,semantic parsing; robustness,,,US,Cornell University,N,"Alane Suhr, Ming-Wei Chang, Peter Shaw and Kenton Lee"
MART: Memory-Augmented Recurrent Transformer for Coherent Video Paragraph Captioning,3,caption generation,,,US,UNC Chapel Hill,Tencent,"Jie Lei, Liwei Wang, Yelong Shen, Dong Yu, Tamara Berg and Mohit Bansal"
Learning Efficient Dialogue Policy from Demonstrations through Shaping,3,dialog,,,Hong Kong; US,The Chinese University of Hong Kong; Microsoft,Microsoft,"Huimin Wang, Baolin Peng and Kam-Fai Wong"
MMPE: A Multi-Modal Interface for Post-Editing Machine Translation,4,machine translation,,,Germany,German Research Center for Artificial Intelligence ,N,"Nico Herbig, Tim D√ºwel, Santanu Pal, Kalliopi Maria Meladaki, Mahsa Monshizadeh, Antonio Kr√ºger and Josef van Genabith"
Modeling Morphological Typology for Unsupervised Learning of Language Morphology,2,morphology,,,US; China,University of Pennsylvania; Shanghai International Studies University,N,"Hongzhi Xu, Jordan Kodner, Mitchell Marcus and Charles Yang"
